County,Trump,Clinton ,FIPS_county,FIPS,,Walker2012,Barrett2012,,,,,,97,47%
Sauk,"15,871","16,050",111,55111,Walker,51.2,48.1,,,,,,45,54%
Sawyer,"4,625","2,846",113,55113,Walker,56.5,42.8,,,,,,88,52%
Shawano,"12,742","6,056",115,55115,Walker,66.2,33.3,,,,,,279,60%
Sheboygan,"32,368","22,636",117,55117,Walker,64.3,35.2,,,,,,124,56%
St. Croix,"26,123","17,496",109,55109,Walker,61.1,38.5,,,,,,76,51%
Taylor,"6,589","2,398",119,55119,Walker,71.8,27.5,,,,,,88,50%
Trempealeau,"7,370","5,645",121,55121,Walker,57,42.2,,,,,,100,56%
Vernon,"6,994","6,351",123,55123,Walker,52,47.2,,,,,,72,65%
Vilas,"8,169","4,769",125,55125,Walker,63.3,36.1,,,,,,202,52%
Walworth,"28,848","18,706",127,55127,Walker,64.3,35.2,,,,,,59,59%
Washburn,"5,404","3,283",129,55129,Walker,57.1,42.1,,,,,,246,70%
Washington,"51,729","20,854",131,55131,Walker,75.6,24,,,,,,706,72%
Waukesha,"145,519","79,199",133,55133,Walker,72.4,27.3,,,,,,128,54%
Waupaca,"16,013","8,303",135,55135,Walker,64.7,34.7,,,,,,69,52%
Waushara,"7,669","3,802",137,55137,Walker,62.9,36.5,,,,,,446,54%
Winnebago,"43,447","37,054",139,55139,Walker,56,43.4,,,,,,281,55%
Wood,"21,502","14,232",141,55141,Walker,57.9,41.2,,,,,,,
